,towns
344,Chapel Hill (University of North Carolina at Chapel Hill)[20]
345,Cullowhee (Western Carolina University)[2]
346,Davidson (Davidson College)[5]
347,"Durham (Duke University, North Carolina Central University)[5]"
348,Elon (Elon University)[2]
349,"Greensboro (University of North Carolina at Greensboro, Greensboro College, Guilford College, North Carolina A & T State University, Bennett College)"
350,Greenville (East Carolina University)[2]
351,Hickory (Lenoir-Rhyne University)[2]
352,Mars Hill (Mars Hill College)[2]
353,Mount Olive (Mount Olive College)[2]
354,Pembroke (University of North Carolina at Pembroke)[2]
355,"Wilmington, North Carolina (University of North Carolina at Wilmington)"
356,Wingate (Wingate University)[2]
357,"Winston-Salem (Wake Forest University, University of North Carolina School of the Arts, Salem College, Winston-Salem State University)"
358,North Dakota[edit]
359,Fargo (North Dakota State University)[18]
360,Grand Forks (University of North Dakota)[5]
361,Ohio[edit]
362,Ada (Ohio Northern University)[2]
363,Alliance (University of Mount Union)
364,Ashland (Ashland University)[2]
365,Athens (Ohio University)[2]
366,Berea (Baldwin Wallace College)
367,Bluffton (Bluffton University)[2]
368,Bowling Green (Bowling Green State University)[2]
369,Cedarville (Cedarville University)[2]
370,Columbus (Ohio State University)
371,Delaware (Ohio Wesleyan University)
372,Fairborn (Wright State University)
373,Findlay (University of Findlay)
374,Gambier (Kenyon College)[2]
375,Granville (Denison University)[2]
376,Hiram (Hiram College)[2]
377,Kent (Kent State University)[2]
378,Nelsonville (Hocking College)[2]
379,New Concord (Muskingum College)[2]
380,Oberlin (Oberlin College)[5]
381,Oxford (Miami University)[5]
382,Rio Grande (University of Rio Grande)[2]
383,"Wilberforce (Wilberforce University, Central State University)[2]"
384,Oklahoma[edit]
385,Ada (East Central University)[2]
386,Alva (Northwestern Oklahoma State University)[2]
387,Durant (Southeastern Oklahoma State University)[2]
388,"Edmond (University of Central Oklahoma, Oklahoma Christian University)[2]"
389,Goodwell (Oklahoma Panhandle State University)[2]
390,Langston (Langston University)[5]
391,Norman (University of Oklahoma)[1]
392,Stillwater (Oklahoma State University)[5]
393,Tahlequah (Northeastern State University)[2]
394,Tulsa (The University of Tulsa)
395,Weatherford (Southwestern Oklahoma State University)
396,Oregon[edit]
397,Ashland (Southern Oregon University)[2]
398,Corvallis (Oregon State University)[20]
399,"Eugene (Lane Community College, Northwest Christian University, University of Oregon)[20]"
400,Forest Grove (Pacific University)
401,"Klamath Falls (Klamath Community College, Oregon Institute of Technology)"
402,La Grande (Eastern Oregon University)[2]
403,Marylhurst (Marylhurst University)
404,McMinnville (Linfield College)
405,Monmouth (Western Oregon University)[2]
406,Newberg (George Fox University)
407,Pennsylvania[edit]
408,Altoona (Penn State Altoona)
409,Annville (Lebanon Valley College)[2]
410,"Bethlehem (Lehigh University, Moravian College)"
411,Bloomsburg (Bloomsburg University of Pennsylvania)[2]
412,Bradford (University of Pittsburgh at Bradford)
413,California (California University of Pennsylvania)[2]
414,Carlisle (Dickinson College)
415,"Cecil B. Moore, Philadelphia, also known as ""Templetown"" (Temple University)"
416,Clarion (Clarion University of Pennsylvania)[2]
417,Collegeville (Ursinus College)
418,Cresson (Mount Aloysius College)[2]
419,East Stroudsburg (East Stroudsburg University of Pennsylvania)[2]
420,Edinboro (Edinboro University of Pennsylvania)[2]
421,"Erie (Gannon University, Mercyhurst College, Penn State Erie)"
422,Gettysburg (Gettysburg College)[2]
423,"Greensburg (Seton Hill University, University of Pittsburgh at Greensburg)"
424,Grove City (Grove City College)[2]
425,Huntingdon (Juniata College)[2]
426,Indiana (Indiana University of Pennsylvania)[2]
427,Johnstown (University of Pittsburgh at Johnstown)
428,Kutztown (Kutztown University of Pennsylvania)[2]
429,Lancaster (Franklin & Marshall)
430,Lewisburg (Bucknell University)[5]
431,Lock Haven (Lock Haven University of Pennsylvania)[2]
432,Loretto (St. Francis University)[2]
433,Mansfield (Mansfield University of Pennsylvania)[2]
434,Meadville (Allegheny College)
435,Mont Alto (Penn State Mont Alto)
436,Millersville (Millersville University of Pennsylvania)[2]
437,New Wilmington (Westminster College)[2]
438,North East (Mercyhurst North East)
439,"University City, Philadelphia (Drexel University, University of Pennsylvania, University of the Sciences in Philadelphia)"
440,"Oakland, Pittsburgh (Carnegie Mellon University, University of Pittsburgh, Carlow University)"
441,"Reading (Albright College, Alvernia University, Penn State Berks)"
442,Selinsgrove (Susquehanna University)[2]
443,Shippensburg (Shippensburg University of Pennsylvania)[2]
444,Slippery Rock (Slippery Rock University of Pennsylvania)[2]
445,State College (Pennsylvania State University)[22]
446,Villanova (Villanova University)
447,Waynesburg (Waynesburg University)
448,West Chester (West Chester University of Pennsylvania)
449,"Wilkes-Barre (King's College, Wilkes University)"
450,"Williamsport (Lycoming College, Pennsylvania College of Technology)[2]"
451,Rhode Island[edit]
452,Kingston (University of Rhode Island)[2]
453,"Providence (Brown University, (University of Rhode Island), Rhode Island School of Design, Johnson and Wales University, Providence College, Community College of Rhode Island, Rhode Island College, and Roger Williams University.)"
454,South Carolina[edit]
455,Central (Southern Wesleyan University)[2]
456,"Charleston (College of Charleston, The Citadel, MUSC)"
457,Clemson (Clemson University)[2]
458,Clinton (Presbyterian College)
459,Columbia (University of South Carolina)[14]
460,Due West (Erskine College)
461,Florence (Francis Marion University)
462,Greenwood (Lander University)
463,"Orangeburg (South Carolina State University, Claflin University)[2]"
464,Rock Hill (Winthrop University)
465,"Spartanburg (Wofford College, Converse College, University of South Carolina Upstate, Spartanburg Methodist College, Edward Via College of Osteopathic Medicine, Spartanburg Community College, Virginia College, Sherman College of Chiropractic)"
466,South Dakota[edit]
467,Brookings (South Dakota State University)[2]
468,Madison (Dakota State University)
469,Spearfish (Black Hills State University)
470,Vermillion (University of South Dakota)[5]
471,Tennessee[edit]
472,Chattanooga (University of Tennessee at Chattanooga)
473,Collegedale (Southern Adventist University)
474,Cookeville (Tennessee Technological University)[2]
475,Harrogate (Lincoln Memorial University)[2]
476,Henderson (Freed-Hardeman University)[2]
477,Johnson City (East Tennessee State University)
478,Knoxville (University of Tennessee)
479,Martin (University of Tennessee at Martin)[2]
480,McKenzie (Bethel University)[2]
481,"Memphis (Christian Brothers University, LeMoyne-Owen College, Memphis College of Art, Memphis Theological Seminary, Rhodes College, Southern College of Optometry, Southwest Tennessee Community College, University of Memphis, University of Tennessee Health Science Center, Visible Music College)"
482,Murfreesboro (Middle Tennessee State University)[2]
483,"Nashville (Vanderbilt University, Belmont University, Tennessee State University, Lipscomb University, Fisk University, Aquinas College, Trevecca Nazarene University)"
484,Sewanee (Sewanee: the University of the South)[2]
485,Texas[edit]
486,"Abilene (Abilene Christian University, Hardin-Simmons University, McMurry University)"
487,Alpine (Sul Ross State University)[2]
488,"Austin (University of Texas at Austin, St. Edwards University, Huston-Tillotson University)[2]"
489,Beaumont (Lamar University)
490,Canyon (West Texas A&M University)[2]
491,College Station (Texas A&M University)[5]
492,Commerce (Texas A&M University–Commerce)[2]
493,Dallas (Southern Methodist University)
494,"Denton (University of North Texas, Texas Woman's University)[2]"
495,"Fort Worth (Texas Christian University, Texas Wesleyan University)"
496,Georgetown (Southwestern University)
497,Huntsville (Sam Houston State University)[2]
498,"Houston (University of Houston, Texas Southern University, Rice University, Houston Baptist University)"
499,Keene (Southwestern Adventist University)[2]
500,Kingsville (Texas A&M University–Kingsville)[2]
501,"Lubbock (Texas Tech University, Lubbock Christian University)"
502,Nacogdoches (Stephen F. Austin State University)[2]
503,Plainview (Wayland Baptist University)[2]
504,Prairie View (Prairie View A&M University)[2]
505,San Marcos (Texas State University)[5]
506,Stephenville (Tarleton State University)[2]
507,Waco (Baylor University)
508,Utah[edit]
509,Cedar City (Southern Utah University)[2]
510,Logan (Utah State University)[2]
511,Provo (Brigham Young University)[5]
512,Orem (Utah Valley University)
513,Salt Lake City (University of Utah)
514,Ephraim (Snow College)
515,Vermont[edit]
516,"Burlington (University of Vermont, Champlain College and Saint Michael's College)[2]"
517,Castleton (Castleton State College)[2]
518,Johnson (Johnson State College)[2]
519,Lyndonville (Lyndon State College)[2]
520,Middlebury (Middlebury College)[2]
521,Northfield (Norwich University)[2]
522,Virginia[edit]
523,Blacksburg (Virginia Polytechnic Institute and State University)[5]
524,Bridgewater (Bridgewater College)[2]
525,Charlottesville (University of Virginia)[23]
526,"Farmville (Longwood University, Hampden-Sydney College)[2]"
527,Fredericksburg (University of Mary Washington)[2]
528,"Harrisonburg (James Madison University, Eastern Mennonite University)[2]"
529,"Lexington (Washington and Lee University, Virginia Military Institute)[2]"
530,"Lynchburg (Lynchburg College, Randolph College, Liberty University, Central Virginia Community College)"
531,Radford (Radford University)[2]
532,Williamsburg (The College of William & Mary)[2]
533,Wise (University of Virginia's College at Wise)[2]
534,"Chesapeake (Averett University, DeVry University, Troy University, Tidewater Community College, Strayer University, Everest University, Sentera College of Health Sciences, St Leo University)[2]"
535,Washington[edit]
536,Bellingham (Western Washington University)
537,Cheney (Eastern Washington University)[2]
538,Ellensburg (Central Washington University)[5]
539,Pullman (Washington State University)[5]
540,"University District, Seattle (University of Washington)[5]"
541,West Virginia[edit]
542,Athens (Concord University)[2]
543,Buckhannon (West Virginia Wesleyan College)[2]
544,Fairmont (Fairmont State University)[2]
545,Glenville (Glenville State College)[2]
546,Huntington (Marshall University)[2]
547,Montgomery (West Virginia University Institute of Technology)[2]
548,Morgantown (West Virginia University)[2]
549,Shepherdstown (Shepherd University)[2]
550,West Liberty (West Liberty University)[2]
551,Wisconsin[edit]
552,Appleton (Lawrence University)
553,Eau Claire (University of Wisconsin–Eau Claire)
554,Green Bay (University of Wisconsin-Green Bay)
555,"La Crosse (University of Wisconsin–La Crosse, Western Technical College, Viterbo University)[2]"
556,Madison (University of Wisconsin–Madison)[2]
557,Menomonie (University of Wisconsin–Stout)[2]
558,"Milwaukee (Marquette University, University of Wisconsin–Milwaukee)"
559,Oshkosh (University of Wisconsin–Oshkosh)
560,Platteville (University of Wisconsin–Platteville)[2]
561,River Falls (University of Wisconsin–River Falls)[2]
562,Stevens Point (University of Wisconsin–Stevens Point)[2]
563,Waukesha (Carroll University)
564,Whitewater (University of Wisconsin–Whitewater)[2]
565,Wyoming[edit]
566,Laramie (University of Wyoming)[5]
